album_id,album_name,release_date,release_date_precision
42v5Ym9cP0SRwpNjzCas9e,In Trance (Remastered 2023),1975-09-17,day
4S5avHaQaY7P1BrLckw3pW,Fly to the Rainbow,1975-04-01,day
3IV3R2FhJI6vaPmnes33mn,Fly To The Rainbow (Remastered 2023),1974-11-01,day
22iTF02z2K23GPjUMrMNo3,Lonesome Crow,1972-02-09,day
7xzLCBOOea4LfGiO1KA0hj,Nuit Noire (Live),2023-06-14,day
2eWjV3Vrs1BYJyJtvOdRhy,Live Evil (40th Anniversary Edition),2023-06-02,day
2P5gxeAtl48VpihBehjrzK,Mob Rules (Remastered and Expanded Version),2022-11-18,day
26qNv63RLAxRIzOCK4dtmR,Heaven and Hell (Remastered and Expanded Edition),2022-11-04,day
1QJeuJKjFw7otrpYUEFVPs,The End (Live),2017-11-17,day
4XQC97RRP7AmyF9mN4lav4,13 (Deluxe Version),2013-01-01,day
2fOSWAjN9NIp4RWSi19kBw,Past Lives (Deluxe Edition),2002-08-20,day
0G3YLIcJdk5wqqLAgOCmL8,Reunion,1998-10-05,day
3QCq4xwC3SZp38Y2cBsHdI,Dehumanizer,1992-06-22,day
4ge3G6ccl2IU8n6UAI9W1K,The Eternal Idol (Deluxe Edition),1987-11-23,day
557z9zU5A2g5jhZBiu8obi,Seventh Star (Deluxe Edition),1986-01-28,day
3rdD2LHEFi6FxrhlBA3Dot,Born Again (Deluxe Edition),1983-08-07,day
1Uq7JKrKGGYCkg6l79gkoa,Live Evil,1982-12-01,day
7ysJ7AAcbTANsIaeB3Z28b,Mob Rules (Deluxe Edition),1981-11-04,day
1rFLOaDAd9iRP0mO9zAcvA,Live at Last,1980-07-01,day
6SQi2QhRzKSOUHKbuzlqnt,Heaven & Hell (Deluxe Edition),1980-04-25,day
35He10lZFJROpQBT16z54R,Never Say Die! (2009 Remastered Version),1978-09-28,day
1OhroZy6nlH71oyVPkzYxn,Technical Ecstasy (2021 - Remaster),1976-09-25,day
1q9JvqB5Dic8MgFlambgz3,We Sold Our Soul for Rock 'N' Roll,1975-12-01,day
5YvlR79rDjRpDYR3IaPiHE,Sabotage (2021 - Remaster),1975-07-28,day
6vKZWeBFGy7phxXP727tOa,Sabbath Bloody Sabbath (2009 Remastered Version),1973-12-01,day
6aHafIF8dhnV5MPk1oQNGH,Vol. 4 (2021 Remaster),1972-09-25,day
3kBG6q0aXKxzn01wKTwZr5,Master of Reality (2009 Remastered Version),1971-07-21,day
132qAo1cDiEJdA3fv4xyNK,Paranoid (2009 Remastered Version),1970-09-18,day
2T6jeELx5BqH4GMLObBy10,Black Sabbath (2009 Remastered Version),1970-02-13,day
50YNY0xy9uJ0U9eFQBdLJa,Life Is But a Dream…,2023-06-02,day
7pb9ZipjQRimTjYOZpZ8lk,Live in the LBC,2020-03-06,day
6VcCunBnnw4BVkCit5rk7d,Diamonds in the Rough,2020-02-07,day
0OJ2cB135AqvHEtfXifM5D,The Stage (Deluxe Edition),2017-12-22,day
0jwnYwJz6XHNrVAYEclQPd,The Stage,2016-10-28,day
0Qm2vu5VZp2MKLb6yTxSgT,Hail to the King: Deathbat (Original Video Game Soundtrack),2015-01-27,day
6V3hjAUhRZU5aLeNNxTOUo,Waking The Fallen: Resurrected,2014-08-25,day
0ks45m1bsP2JsZpM5D2FFA,Hail to the King,2013-08-23,day
7vfuTRXIAYJz5Uc8SddnTr,Nightmare,2010-07-23,day
3Id3VUk9jSKBD1guNo1buF,Avenged Sevenfold,2007-10-26,day
55tK4Ab7XHTOKkw0xDz3AA,City of Evil,2005-06-06,day
3qyVLEW74vRMvVxNHjwKhk,Waking The Fallen,2003-08-26,day
3Pi6o8NqDPlEBilGeMKi8q,Sounding The Seventh Trumpet,2002-03-19,day
194k9QjcE2L1YmM1ec8llb,Llegó El Día (Reedición 2022),2022-11-18,day
47c7vzaXqhaBnjQ6wkgJ61,Sin tiempo - 30 años (Remasterizado 2022),2022-11-11,day
1eboZtHIlxmwQCyT5g1Q4J,Llegó El Día,2022-01-26,day
2pkw5CXf8eDGoVA2ipMuf5,Trece Rosas,2018-10-19,day
5R4ZM0oggokP9CMtthGc1W,16,2017-04-14,day
6rAN1g2Lk7HrvBV7TWib99,Paraiso Prohibido,2016-11-18,day
4mwKrlISrX6xMbNfcOX2Jt,En Al-Hakim (Edición Especial),2016-11-01,day
3EYeb1Qs5fIdd3hx7TRHyb,Las Puertas del Cielo,2014-11-04,day
